CODE,LINE_NAME,DATE,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH,LOSS_PCT,MAX_LOAD_PCT,AVG_LOAD_PCT,N_INTERVALS,OUTPUT_SRC
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-09,10035,44.4,18.5655,62.9655,0.623547,29.9711,20.9611,48,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-09,534.4,12.9638,0.187133,13.151,2.40178,6.94997,3.93584,48,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-09,783,19.32,0.547202,19.8672,2.47453,11.4775,4.17052,48,index
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-09,64,21.2808,0.00138847,21.2822,24.955,0.395818,0.248609,48,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-09,160,40.7112,0.00398743,40.7152,20.2851,0.360555,0.275517,48,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-09,4846,22.1858,8.95777,31.1436,0.638563,27.7597,20.5109,48,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-09,117.6,22.2,0.00883636,22.2088,15.8851,1.57232,0.462974,48,index
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-01-09,928,21.552,0.70265,22.2546,2.34197,13.0167,5.26199,48,index
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-01-09,771.2,19.92,0.39395,20.314,2.56647,10.6018,4.14051,48,index
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-01-09,10662,45.5151,11.4723,56.9874,0.531649,24.5649,18.352,48,index
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-01-09,402,45.5784,0.0364759,45.6149,10.1907,2.976,0.666591,48,index
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-01-09,18,17.568,0.000210312,17.5682,49.393,0.149071,0.102865,48,index
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-01-09,231,6.84,0.205439,7.04544,2.9597,12.9029,5.49229,48,index
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-01-09,306,6.432,0.370493,6.80249,2.17469,22.7947,8.07935,53,index
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-01-09,26495,91.8096,68.0904,159.9,0.59989,54.444,36.0262,48,index
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-01-09,3411.2,18.912,5.73532,24.6473,0.717358,24.209,18.9255,48,index
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-01-09,380,27.696,0.0386499,27.7346,6.80213,2.1006,0.969617,48,index
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-01-09,6081.6,23.088,28.1142,51.2022,0.834891,87.5901,28.6245,48,index
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-01-09,345,18.72,0.0832389,18.8032,5.16852,5.19947,2.2919,48,index
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-01-09,574.4,9.96,0.380632,10.3406,1.76841,9.92568,6.18112,50,index
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-01-09,96,48.2704,0.003292,48.2737,33.4598,0.570068,0.275618,25,index
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-01-09,1280,95.736,0.166342,95.9023,6.97014,2.93636,1.80604,48,index
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-01-09,600,73.128,0.0581232,73.1861,10.8716,2.06194,1.2661,48,index
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-01-09,256,7.728,0.114272,7.84227,2.97233,11.1705,1.96047,48,index
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-01-09,532,57.528,0.0592699,57.5873,9.76739,2.42132,1.10921,48,index
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-01-09,3054.4,17.9362,11.3933,29.3294,0.951103,58.4042,21.2317,48,index
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-01-09,222,52.08,0.0394296,52.1194,19.0134,1.442,0.773527,48,index
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-01-09,4361.6,16.7338,15.2593,31.993,0.728175,49.823,32.9082,48,index
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-01-09,2265.6,16.008,5.66775,21.6758,0.947667,44.4408,18.0493,48,index
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-01-09,4832,31.32,6.96328,38.2833,0.786059,20.8716,14.0164,48,index
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-01-09,5920.8,22.3344,12.7576,35.092,0.589198,28.7786,24.9069,48,index
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-01-09,702.4,10.1587,0.567115,10.7258,1.50406,20.173,7.27218,48,index
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-01-09,726.4,9.6,1.07707,10.6771,1.44857,22.0013,8.19758,48,index
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-01-09,35.2,9.63312,0.00124373,9.63436,21.4888,0.533667,0.371707,48,index
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-01-09,7.2,9.8436,7.10177e-05,9.84367,57.7556,0.510882,0.0493934,48,index
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-09,240,9.864,0.154973,10.019,4.00729,13.4573,2.57894,48,index
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-01-09,203.2,9.72,0.0738558,9.79386,4.59819,6.27579,2.10246,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-09,296,18.768,0.0630527,18.8311,5.98132,4.1739,2.05824,48,index
