CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
YM.NHUADUCANH.T1.2000kVA,YM.NHUADUCANH.T1.2000kVA,2026-07-01 00:30:00,0.5,1,4,-1.2,4.17612,0.208806,2.39707,2,1.1985,3.68579e-05,1.19854
YM.OSAKA.160kVA,YM.OSAKA.160kVA,2026-07-01 00:30:00,0.5,1,0,0,0,0,0.6205,0,0.31025,0,0.31025
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-07-01 00:30:00,0.5,1,206.4,87.36,224.127,22.4127,1.35663,103.2,0.4653,0.213014,0.678314
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-07-01 00:30:00,0.5,1,33.6,-0.96,33.6137,8.40343,0.449621,16.8,0.21164,0.0131705,0.224811
YM.SONMIENBAC.T1.1250kVA,YM.SONMIENBAC.T1.1250kVA,2026-07-01 00:30:00,0.5,1,3.3,0.3,3.31361,0.265089,1.07007,1.65,0.535,3.70291e-05,0.535037
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-07-01 00:30:00,0.5,1,2.72,-0.32,2.73876,0.68469,0.401554,1.36,0.20069,8.6796e-05,0.200777
YM.TITAN.NX3.400kVA,YM.TITAN.NX3.400kVA.EVERJOY,2026-07-01 00:30:00,0.5,1,0.6,-0.24,0.64622,0.161555,0.40201,0.3,0.201,4.84808e-06,0.201005
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-07-01 00:30:00,0.5,1,0.48,-0.36,0.6,0.15,0.410158,0.24,0.205075,4.18736e-06,0.205079
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-07-01 00:30:00,0.5,1,1.44,-0.16,1.44886,0.362215,0.411049,0.72,0.2055,2.45738e-05,0.205525
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-07-01 00:30:00,0.5,1,10.56,-1.6,10.6805,2.67013,0.407671,5.28,0.2025,0.00133537,0.203835
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-07-01 00:30:00,0.5,1,19.04,0.64,19.0508,3.02393,0.787115,9.52,0.391,0.00255762,0.393558
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-07-01 00:30:00,0.5,1,32.4,13.8,35.2165,4.69553,0.818027,16.2,0.402,0.00701347,0.409013
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-07-01 00:30:00,0.5,1,11,0.4,11.0073,1.46764,0.80537,5.5,0.402,0.000685173,0.402685
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-07-01 00:30:00,0.5,1,131.2,40.56,137.326,34.3316,0.937444,65.6,0.2225,0.246222,0.468722
YM.YUSEN.T1.800kVA,YM.YUSEN.T1.800kVA,2026-07-01 00:30:00,0.5,1,24.6,-12.3,27.5036,3.43795,0.806207,12.3,0.39915,0.00395369,0.403104
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-07-01 00:31:00,0.483333,1,13.6,-6.88,15.2412,3.8103,0.405457,6.57333,0.193333,0.00263778,0.195971
03.AQ.T1.2500kVA,03.AQ.T1.2500kVA,2026-07-01 01:00:00,0.5,1,1.8,-2.4,3,0.12,4.50002,0.9,2.25,1.19138e-05,2.25001
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-07-01 01:00:00,0.5,1,7.9,0,7.9,1.975,0.284126,3.95,0.141,0.00106298,0.142063
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-07-01 01:00:00,0.5,1,38.7,-5.52,39.0917,15.6367,0.432293,19.35,0.1815,0.0346465,0.216146
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-07-01 01:00:00,0.5,1,5.4,-5.4,7.63675,0.61094,1.2094,2.7,0.6045,0.000199688,0.6047
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-07-01 01:00:00,0.5,1,5.12,-0.32,5.12999,0.341999,1.23415,2.56,0.617,7.70731e-05,0.617077
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-07-01 01:00:00,0.5,1,681,48.5,682.725,34.1362,3.77819,340.5,0.925,0.964097,1.8891
